,Unnamed: 0,CEO,Ticker,Sector,Quarter,Year,Date,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile,Next_Date,Time_Delta,twenty_ret,twentyfive_ret,thirty_ret,thirtyfive_ret,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,adjweightedavebasicsharesos,adjbasiceps,adjweightedavedilutedsharesos,adjdilutedeps,adjweightedavebasicdilutedsharesos,adjbasicdilutedeps,FFR_0,FFR_60,FFR_90,FFR_120,FFR_30,T10_0,T10_60,T10_90,T10_120,T10_30,Tax_Law,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
0,0,TomÂ Greco,AAP,Consumer Discretionary,Q3,2016,11/15/2016 22:57,1.13,3639,231,7,2.166666667,2.368421053,1.80270778,1.665738131,1.561660723,1.706720231,1.521499602,0.954784007,0.790462846,0.594356362,0.186080971,0.83154799,2/21/2017 12:41,97,-0.001409227,0.043379695,0.043318424,0.028000735,-0.042487,487195641.7,0.051185,3779232000,2.5793,177805000,309390641.7,35119641.7,923511000,786103000,261242000,1047345000,276153000,1305653000,1425147000,1424775000,1043005000,1042633000,923511000,3898726000,38.664,16.409,10895078830,11818589830,3.8152,8.9896,1.1446,24.1001,0.001627,0.041494,3.1272,1.2417,11.2843,15.0344,24.2584,19.3878,38.1996,-0.083043,-0.095,-0.110557,-0.101264,-0.105727,-0.114981,-0.401885,0.049371,-0.004846,-0.015992,-0.019192,-0.009534,-0.014443,-0.016155,0.050528,0.011288,-0.009162,0.447297,0.110034,0.082171,0.082588,0.047495,0.552703,0.365126,0,0.365126,0.62291,0.923224,0.37709,1.1471,14.0849,1.238,6.7071,1.6499,25.9142,294.8196,221.2298,99.504,0.4008,3.1499,2.9081,0.3651,0.3652,0.13202,0.033259,0.09876,0.039585,0.171605,0.083838,0.094733,0.05448,0,0.171605,0.039243,0.077168,2.207428,9.50E-05,0.267429,0.267525,0,0,0.732475,0.9959,0.8818,0.9955,2.1408,1.8956,2.1401,3.2187,NA,NA,NA,NA,NA,NA,NA,1.3713,0.2102,0.137172,0.149727,0.149687,487195641.7,0.051185,0.076247,73638000,6.14,73860000,6.09,73900000,6.14,0,0.01,0.01,0.01,,0.43,0.53,0.67,0.64,,0,0.388587185,81.68231143,19.13112647,13.40967365,4.605551275,1.030356867,104.7292623
1,1,ThomasÂ R.Â Greco,AAP,Consumer Discretionary,Q4,2016,2/21/2017 12:41,1.16,3581,234,11,0.5,1.666666667,1.801801809,1.660454805,1.572874203,1.697931265,1.533246386,0.952018368,0.756394467,0.687952923,0.132744354,0.878733944,5/24/2017 8:00,91,-0.0065945,-0.025693667,-0.110115715,-0.093069553,-0.017391,489956983.6,0.05121,3823963000,2.5856,247202000,242754983.6,30334983.6,907771000,798745000,258387000,1057132000,257347000,1361540000,1496718000,1496718000,1042949000,1042949000,907771000,3959141000,39.4848,17.3908,12442537467,13350308467,4.2667,9.6873,1.3005,27.0712,0.001781,0.03694,3.4912,1.3954,12.6288,16.7141,27.2479,25.5116,54.995,-0.028168,-0.023892,-0.056379,-0.0291,-0.03125,-0.255237,-0.491723,0.069113,0.005184,0.009345,0.016082,0.005668,0.016692,0.018062,-0.141546,-0.215377,0.011836,0.444822,0.11049,0.082319,0.083484,0.048039,0.555178,0.362503,0,0.362503,0.62209,0.924995,0.37791,1.1638,15.4437,1.2497,6.6421,1.6889,23.6342,292.0623,216.1133,99.5832,0.3764,3.0581,2.8287,0.3576,0.3576,0.132408,0.029977,0.102431,0.038556,0.170964,0.065603,0.097155,0.055906,0,0.170964,0.038593,0.07861,2.033453,0,0.263428,0.263428,0,0,0.736572,0.9866,0.8587,0.9866,2.1287,1.8528,2.1287,3.4811,NA,NA,NA,NA,NA,NA,NA,1.4072,0.2112,0.142306,0.156435,0.156435,489956983.6,0.05121,0.077222,73562000,6.22,73856000,6.2,73900000,6.22,0,0,0.25,0.25,,-0.05,-0.12,0.07,0.66,,0,0.397492138,79.89367935,17.60681686,9.366600265,3.236067977,1.052164078,74.16880831
2,2,TomÂ Greco,AAP,Consumer Discretionary,Q1,2017,5/24/2017 8:00,1.152,2004,89,8,0.857142857,1.923076923,1.803711049,1.677509492,1.587895222,1.695039758,1.533590064,0.957695466,0.855521242,0.795788612,0.117762639,0.87995819,8/15/2017 13:20,83,-0.007744361,0.030827068,-0.233609023,-0.171353383,-0.020646,438057593.7,0.046215,3970960000,2.4534,215043000,223014593.7,29288593.7,947285000,709216000,256497000,965713000,233768000,1520975000,1647062000,1647062000,1073372000,1073372000,947285000,4097047000,40.8092,18.9762,10842314110,11789599110,3.5858,7.7114,1.1439,26.5243,0.00164,0.037701,2.969,1.2438,12.2082,16.6234,26.9134,25.0876,52.8647,-0.119957,-0.14737,-0.165641,-0.155609,-0.155963,-0.317822,-0.44459,0.057254,-0.009296,-0.086478,-0.112087,-0.105926,-0.110641,-0.109677,-0.101977,-0.081318,0.038441,0.44064,0.101882,0.073467,0.074822,0.043125,0.55936,0.367172,0,0.367172,0.629051,0.91625,0.370949,1.1239,14.2108,1.1986,6.6001,1.6654,25.6847,304.5128,219.1663,111.0312,0.3669,2.9839,2.734,0.355,0.355,0.113385,0.028243,0.085143,0.03124,0.144625,0.057724,0.084092,0.048468,0,0.144625,0.043521,0.067253,2.010275,0,0.261987,0.261987,0,0,0.738013,1.1115,0.9809,1.1115,2.4503,2.1625,2.4503,3.2665,NA,NA,NA,NA,NA,NA,NA,1.4501,0.2211,0.160462,0.173764,0.173764,438057593.7,0.046215,0.068555,73782000,5.52,74093000,5.52,73900000,5.52,0,,0.25,0.25,0,-0.14,,-0.12,-0.21,-0.02,0,0.356370594,69.45502142,15.06651917,12.91637529,3.449489743,1.018286481,123.4384626
3,3,TomÂ Greco,AAP,Consumer Discretionary,Q2,2017,8/15/2017 13:20,1.119,1671,78,6,1.2,2.090909091,1.796964138,1.691372248,1.581642166,1.697081909,1.54784557,0.934888494,0.912710201,0.753814748,0.128213483,0.923305375,11/14/2017 14:45,91,0.057185767,0.106746765,0.147527726,0.01444085,-0.008194,403093902.3,0.042492,3914737000,2.4548,100561000,302532902.3,31875902.3,786460000,636168000,254322000,890490000,241773000,1470658000,1727888000,1727888000,1043690000,1043690000,786460000,4171967000,42.221,20.4538,7538153092,8324613092,2.4097,4.9741,0.7946,20.3065,0.002359,0.049245,2.1265,0.8775,9.3484,13.0856,20.6518,14.2983,27.5164,-0.163361,-0.206263,-0.180512,-0.190719,-0.19063,0.00335,-0.011127,0.026365,0.000799,-0.077894,-0.102998,-0.079815,-0.091864,-0.092391,0.238912,0.356561,-0.014159,0.438478,0.093871,0.066033,0.067062,0.039132,0.561522,0.372446,0,0.372446,0.643503,0.90679,0.356497,1.1243,14.18,1.2225,6.6263,1.7304,25.7405,298.5716,210.9381,113.374,0.3151,2.8713,2.6036,0.3336,0.3336,0.104308,0.034428,0.06988,0.022017,0.126325,0.078286,0.075398,0.043996,0,0.126325,0.047977,0.073614,2.408094,0,0.250167,0.250167,0,0,0.749833,1.172,0.8832,1.172,2.5892,1.9511,2.5892,2.9102,NA,NA,NA,NA,NA,NA,NA,1.4802,0.2606,0.155029,0.182145,0.182145,403093902.3,0.042492,0.060811,73848000,5.01,74093000,5.01,73800000,5.01,0,0,0.25,0.25,,-0.06,0.11,0.05,0.01,,0,0.380788655,50.22947342,11.61895004,10.43398113,3.449489743,1.015746453,84.11674917
4,4,ThomasÂ R.Â Greco,AAP,Consumer Discretionary,Q3,2017,11/14/2017 14:45,1.154,4077,263,5,3,2.5,1.79661695,1.672089228,1.559624795,1.701362998,1.524433658,0.933496441,0.827465896,0.576575802,0.152165802,0.844314348,2/21/2018 17:14,99,-0.025018631,-0.05323113,0.061535186,0.256574045,-0.010364,383416988.6,0.040704,3911493000,2.4496,132261000,251155988.6,30046988.6,680706000,602063000,251878000,853941000,209457000,1467241000,1830543000,1830543000,1044008000,1044008000,680706000,4274795000,43.5968,21.9666,6971310054,7652016054,2.1578,4.2825,0.7401,19.7281,0.002551,0.050689,1.9563,0.8123,8.9608,12.7097,19.9574,15.3879,30.4672,-0.184661,-0.234117,-0.213012,-0.218339,-0.215107,-0.184242,-0.188224,0.034997,-0.007023,-0.041044,-0.05361,-0.048815,-0.04808,-0.045908,-0.145885,-0.169823,-0.000829,0.43728,0.090655,0.062551,0.063915,0.037514,0.56272,0.37473,0,0.37473,0.650734,0.901954,0.349266,1.1159,13.7885,1.2361,6.5857,1.7326,26.4712,295.2812,210.6664,111.0861,0.2636,2.7738,2.5019,0.3231,0.3231,0.099709,0.03746,0.062249,0.016407,0.116116,0.065314,0.071322,0.041861,0,0.116116,0.050463,0.07727,2.37412,0,0.244224,0.244224,0,0,0.755776,1.2226,0.7971,1.2226,2.7229,1.7754,2.7229,2.858,NA,NA,NA,NA,NA,NA,NA,1.5175,0.2948,0.155763,0.194332,0.194332,383416988.6,0.040704,0.057649,73866000,4.77,74106000,4.78,73800000,4.77,0,0,0,0,,0.1,0.18,0.15,0.07,,0,0.371483512,73.91887445,16.94107435,12.91637529,4.464101615,1.041112646,104.8650929
6,7,RichardÂ Gonzalez,ABBV,Health Care,Q4,2016,1/27/2017 14:30,1.13,2025,104,1,inf,3,1.8345172,1.64567106,1.545358644,1.683101006,1.507649585,0.996421472,0.647203578,0.449644857,0.068565895,0.762574871,4/27/2017 15:33,90,0.008679686,0.012685695,0.099148723,0.085461526,0.121571,7052387113,0.275076,41624000000,0.7084,10865000000,-3812612887,1099387113,36988000000,8849000000,1189000000,10038000000,479000000,385000000,6808000000,6406000000,45194000000,44792000000,36988000000,49830000000,2.8424,-24.3268,93647903502,1.30636E+11,20.2002,NA,3.6527,15.7312,0.048591,0.063568,3.1385,5.0954,13.0141,14.7628,18.5236,18.5536,NA,0.229093,0.207066,0.208737,0.157271,0.159744,-0.065561,0.706507,0.35323,0.015688,0.023659,0.019,-0.008583,-0.020727,-0.021563,-0.056546,-0.084497,-0.011236,0.772525,0.391528,0.364303,0.345152,0.232194,0.227475,0.229386,0.178836,0.408222,0.755074,0.890948,0.244926,0.4304,5.4043,3.6876,9.9199,0.6537,67.5388,98.9793,558.3273,-391.8092,7.4353,13.8852,12.371,9.6618,9.7485,0.194863,0.034462,0.160401,1.192621,1.387484,-0.105346,0.148537,0.099925,0,1.387484,0.624391,1.64942,14.699374,0.008067,0.898896,0.906964,0,0,0.093036,4.5023,3.6848,4.4622,6.4083,5.2447,6.3513,1.9529,NA,NA,NA,NA,NA,NA,NA,1.6549,1.1431,0.015017,0.265543,0.249863,7052387113,0.275076,0.307512,1622000000,3.65,1631000000,3.63,1631000000,3.65,0.25,0.25,,0.26,0,0.63,0.17,,0.93,-0.02,0,0.343511281,56.85068161,10.81665383,10.32737905,3.645751311,1.025679028,107.6640694
7,8,RichardÂ A.Â Gonzalez,ABBV,Health Care,Q1,2017,4/27/2017 15:33,1.159,1791,97,7,1.833333333,2.294117647,1.826217452,1.632823521,1.54183609,1.704194954,1.497148433,0.992439855,0.540750568,0.418591541,0.169548055,0.701363359,7/28/2017 18:37,92,-0.00181653,0.017711172,0.05464729,0.09763851,0.102662,7291846473,0.278124,42077000000,0.7167,10995000000,-3703153527,981846473,37079000000,9206000000,1295000000,10501000000,453000000,880000000,7128000000,6703000000,45450000000,45025000000,37079000000,50448000000,3.1179,-24.4049,96776096903,1.33855E+11,19.363,NA,3.6912,15.3369,0.048367,0.065202,3.1812,5.1055,12.7469,14.54,18.3568,19.0813,NA,0.202726,0.182531,0.150898,0.152301,0.159159,-0.131592,0.70432,0.353742,0.022623,0.046125,0.040344,0.033954,0.05997,0.063361,-0.003693,0.02871,0.010883,0.768136,0.400526,0.361164,0.351133,0.240674,0.231864,0.224998,0.181974,0.406972,0.770076,0.890072,0.229924,0.4392,5.5606,3.7805,10.0664,0.7299,65.641,96.5488,500.0962,-337.9065,6.5883,12.3829,11.0217,9.0086,9.0936,0.199342,0.030916,0.168427,1.10965,1.308993,-0.101236,0.154225,0.105709,0,1.308993,0.605388,1.649445,15.485651,0.008425,0.892503,0.900928,0,0,0.099072,4.3282,3.531,4.2877,6.233,5.085,6.1747,2.0495,NA,NA,NA,NA,NA,NA,NA,1.7579,1.2353,0.033565,0.271874,0.255664,7291846473,0.278124,0.312533,1597000000,3.89,1603000000,3.86,1599100000,3.89,0.25,,0.25,0.25,0,-0.01,,-0.19,-0.21,-0.12,0,0.386005181,67.99264666,13.85640646,14.19090596,4.31662479,1.04436127,124.7236509
8,9,RichardÂ A.Â Gonzalez,ABBV,Health Care,Q2,2017,7/28/2017 18:37,1.153,1866,97,5,2.25,2.384615385,1.827673637,1.646703168,1.549077558,1.708240461,1.508070013,0.993339965,0.655388759,0.482763479,0.19649968,0.764873608,10/27/2017 14:11,90,-0.008650028,0.006664776,0.233692569,0.281764039,0.079018,7627092652,0.285552,42507000000,0.6331,633000000,6994092652,1012092652,36498000000,9491000000,1385000000,10876000000,448000000,918000000,8123000000,4703000000,45755000000,42335000000,36498000000,51764000000,3.7556,-23.7556,1.08563E+11,1.45061E+11,18.0667,NA,4.0645,16.4116,0.044067,0.060933,3.4126,5.431,13.3377,15.284,19.0191,20.4311,20.7405,0.168332,0.148475,0.145626,0.156469,0.16954,-0.130328,3.267554,0.015117,0.018766,0.035711,0.030958,0.045975,0.048336,0.054404,0.012117,2.888686,0.010219,0.767765,0.407188,0.364807,0.355335,0.24766,0.232235,0.222463,0.180494,0.402958,0.782748,0.890423,0.217252,0.398,5.3921,3.7166,10.127,0.7051,67.691,98.2081,517.6374,-351.7383,6.2436,11.5207,10.2583,7.0453,7.6144,0.180777,0.027831,0.152947,0.954942,1.13572,0.165774,0.14144,0.098581,0,1.13572,0.592139,1.005291,15.848214,0.066069,0.817846,0.883915,0,0,0.116085,4.207,3.3558,3.8925,5.999,4.7853,5.5506,2.1429,NA,NA,NA,NA,NA,NA,NA,1.3836,0.9841,0.034369,0.304118,0.176076,7627092652,0.285552,0.316398,1595000000,4.1,1600000000,4.07,1595800000,4.1,0.33,,,0.25,0,0.01,,,-0.12,0.08,0,0.389871774,67.66830868,14.45683229,16.13274595,4,1.041112646,133.0907528
9,10,RichardÂ A.Â Gonzalez,ABBV,Health Care,Q3,2017,10/27/2017 14:11,1.16,1735,87,4,5.333333333,2.684210526,1.828734032,1.654426939,1.53969234,1.698485753,1.515012857,0.993934464,0.714137023,0.399925971,0.135761079,0.801008668,1/26/2018 16:17,91,-0.008069793,0.006652126,0.052017448,0.089967285,0.080461,7851839662,0.287898,41956000000,0.6489,-141000000,7992839662,1203839662,35269000000,9574000000,1460000000,11034000000,461000000,164000000,9718000000,5897000000,46794000000,42973000000,35269000000,53481000000,4.1716,-23.224,1.34478E+11,1.69747E+11,20.1104,NA,4.9308,20.2284,0.036476,0.049435,4.0458,6.224,15.384,17.73,21.6188,19.0364,21.2374,0.125229,0.102487,0.103803,0.093601,0.107817,0.194828,3.273562,-0.003349,0.021078,0.014527,0.008745,0.029467,0.004989,0.009828,0.255915,0.142799,-0.012963,0.768452,0.404576,0.369486,0.351043,0.243758,0.231548,0.220658,0.178308,0.398966,0.779184,0.891164,0.220816,0.4027,5.5153,3.6984,10.2242,0.6906,66.1799,98.6916,528.542,-363.6704,5.3889,10.2969,9.1762,6.4263,6.9978,0.186831,0.03396,0.15287,0.823811,1.010642,0.190186,0.141349,0.09815,0,1.010642,0.603189,1.01414,19.342733,0.071446,0.803519,0.874965,0,0,0.125035,4.2409,3.1964,3.8946,5.9596,4.4918,5.473,2.3893,NA,NA,NA,NA,NA,NA,NA,1.4525,1.1083,0.006013,0.356323,0.216221,7851839662,0.287898,0.312837,1597000000,4.15,1603000000,4.11,1599000000,4.15,0,0,,0,0,0.12,0.26,,0.15,0.11,0,0.361939221,62.91263784,13.07669683,11.77032961,5,1.042492454,85.02703177
10,11,RichardÂ Gonzalez,ABBV,Health Care,Q4,2017,1/26/2018 16:17,1.132,1416,71,4,2.333333333,2.4,1.817197127,1.65905303,1.553677187,1.711042337,1.510450513,0.984101511,0.746877785,0.523865324,0.216604774,0.77765469,4/26/2018 14:03,89,0.006666667,-0.052098765,-0.026337449,-0.254403292,0.100554,6558095639,0.232425,46191000000,0.6426,4567000000,1991095639,1249095639,41094000000,8731000000,1501000000,10232000000,529000000,1208000000,10997000000,4582000000,52973000000,46558000000,41094000000,58070000000,3.1797,-23.8596,1.47383E+11,1.88477E+11,28.9156,NA,5.2234,27.761,0.027844,0.036022,4.0804,6.6798,18.4203,21.5871,28.7396,18.9234,94.6599,0.019327,-0.013335,-0.070089,-0.108181,-0.090909,0.414572,1.522239,0.10972,0.034576,-0.072684,-0.088051,-0.16477,-0.201414,-0.19708,0.116968,-0.75089,0.100939,0.750425,0.362631,0.338283,0.309434,0.188156,0.249575,0.2231,0.189042,0.412142,0.687071,0.885007,0.312929,0.4123,5.7315,4.6192,10.4368,0.7184,63.6835,79.0177,508.0819,-365.3806,8.0224,14.064,12.4468,9.1344,10.393,0.149362,0.031994,0.117367,0.941566,1.090928,0.045348,0.127567,0.077569,0,1.090928,0.773592,1.039179,18.827977,0.11047,0.801757,0.912227,0,0,0.087773,5.1772,4.0162,4.5502,8.0775,6.2661,7.0993,2.3375,NA,NA,NA,NA,NA,NA,NA,1.2753,0.894,0.042813,0.389743,0.16239,6558095639,0.232425,0.273852,1596000000,3.31,1603000000,3.3,1603900000,3.31,0.26,0.26,,0.26,0,0.24,0.34,,0.35,0.24,1,0.38340579,57.48912941,12.32882801,10.64365076,3.645751311,1.055739986,83.3900486
