Predicted_Returns,Date,Ticker,Date_notime
0.062158918,5/24/2017,AAP,5/24/2017
0.033567215,8/15/2017,AAP,8/15/2017
0.110661905,11/14/2017,AAP,11/14/2017
0.127288968,2/21/2018,AAP,2/21/2018
0.076614546,5/22/2018,AAP,5/22/2018
0.051162321,1/27/2017,ABBV,1/27/2017
0.001915353,4/27/2017,ABBV,4/27/2017
0.023638766,7/28/2017,ABBV,7/28/2017
0.028124443,10/27/2017,ABBV,10/27/2017
0.003857062,1/26/2018,ABBV,1/26/2018
0.025749276,4/26/2018,ABBV,4/26/2018
0.050355751,10/27/2016,ABMD,10/27/2016
0.048270598,1/26/2017,ABMD,1/26/2017
0.100397966,5/4/2017,ABMD,5/4/2017
0.080818457,10/28/2017,ABMD,10/28/2017
0.046543625,2/1/2018,ABMD,2/1/2018
0.067666703,5/3/2018,ABMD,5/3/2018
0.091704315,7/26/2018,ABMD,7/26/2018
0.025202179,1/25/2017,ABT,1/25/2017
0.052645722,4/19/2017,ABT,4/19/2017
0.113647816,7/20/2017,ABT,7/20/2017
0.034629962,10/18/2017,ABT,10/18/2017
0.012667537,1/24/2018,ABT,1/24/2018
0.03225613,4/18/2018,ABT,4/18/2018
0.058839436,7/18/2018,ABT,7/18/2018
0.061024857,12/15/2016,ADBE,12/15/2016
0.059471361,3/16/2017,ADBE,3/16/2017
0.064196954,6/20/2017,ADBE,6/20/2017
0.080749923,9/19/2017,ADBE,9/19/2017
0.063671744,12/14/2017,ADBE,12/14/2017
0.049146439,3/15/2018,ADBE,3/15/2018
0.061077402,2/7/2017,ADM,2/7/2017
0.09790214,5/2/2017,ADM,5/2/2017
0.078663498,8/1/2017,ADM,8/1/2017
0.099042528,10/31/2017,ADM,10/31/2017
0.061740375,2/6/2018,ADM,2/6/2018
0.039225538,5/1/2018,ADM,5/1/2018
0.017918435,7/31/2018,ADM,7/31/2018
0.044504431,1/26/2017,ADS,1/26/2017
0.071960135,4/20/2017,ADS,4/20/2017
-0.017277756,7/20/2017,ADS,7/20/2017
0.078868694,10/19/2017,ADS,10/19/2017
0.016488278,1/25/2018,ADS,1/25/2018
