CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile
Tom Greco,AAP,Consumer Discretionary,Q3,2016,11/15/2016 22:57,0.151,0.128,0.13,6672,3638,2290,366,230,154,13,6,2.166666667,0.368421053,0.80270778,0.665738131,0.561660723,0.706720231,0.521499602,0.954784007,0.790462846,0.594356362,0.186080971,0.83154799
Thomas R. Greco,AAP,Consumer Discretionary,Q4,2016,2/21/2017 12:41,0.158,0.176,0.16,6383,3580,1280,310,233,70,5,10,0.5,-0.333333333,0.801801809,0.660454805,0.572874203,0.697931265,0.533246386,0.952018368,0.756394467,0.687952923,0.132744354,0.878733944
Tom Greco,AAP,Consumer Discretionary,Q1,2017,5/24/2017 8:00,0.127,0.095,0.152,4824,2003,3019,227,88,142,6,7,0.857142857,-0.076923077,0.803711049,0.677509492,0.587895222,0.695039758,0.533590064,0.957695466,0.855521242,0.795788612,0.117762639,0.87995819
Tom Greco,AAP,Consumer Discretionary,Q2,2017,8/15/2017 13:20,0.145,0.087,0.119,2523,1670,1583,135,77,89,6,5,1.2,0.090909091,0.796964138,0.691372248,0.581642166,0.697081909,0.54784557,0.934888494,0.912710201,0.753814748,0.128213483,0.923305375
Thomas R. Greco,AAP,Consumer Discretionary,Q3,2017,11/14/2017 14:45,0.138,0.153,0.154,5464,4076,2295,287,262,142,12,4,3,0.5,0.79661695,0.672089228,0.559624795,0.701362998,0.524433658,0.933496441,0.827465896,0.576575802,0.152165802,0.844314348
Thomas Greco,AAP,Consumer Discretionary,Q4,2017,2/21/2018 17:14,0.168,0.125,0.111,5700,3735,2498,329,210,156,7,4,1.75,0.272727273,0.799276538,0.678871353,0.568786873,0.704040469,0.537660016,0.943590775,0.86205756,0.654854588,0.168568204,0.893796897
Tom Greco,AAP,Consumer Discretionary,Q1,2018,5/22/2018 8:00,0.175,0.194,0.128,7073,3799,939,310,205,35,10,9,1.111111111,0.052631579,0.80074087,0.684710591,0.568447149,0.700162233,0.530110959,0.948609312,0.887779953,0.652044952,0.145166087,0.867158804
Richard Gonzalez,ABBV,Health Care,Q4,2016,1/27/2017 14:30,0.118,0.116,0.13,3232,2024,2399,117,103,87,7,0,inf,1,0.8345172,0.64567106,0.545358644,0.683101006,0.507649585,0.996421472,0.647203578,0.449644857,0.068565895,0.762574871
Richard A. Gonzalez,ABBV,Health Care,Q1,2017,4/27/2017 15:33,0.149,0.16,0.159,4623,1790,3072,192,96,174,11,6,1.833333333,0.294117647,0.826217452,0.632823521,0.54183609,0.704194954,0.497148433,0.992439855,0.540750568,0.418591541,0.169548055,0.701363359
Richard A. Gonzalez,ABBV,Health Care,Q2,2017,7/28/2017 18:37,0.152,0.153,0.153,4579,1865,3426,209,96,229,9,4,2.25,0.384615385,0.827673637,0.646703168,0.549077558,0.708240461,0.508070013,0.993339965,0.655388759,0.482763479,0.19649968,0.764873608
