,CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile,Next_Date,Time_Delta,twenty_ret,twentyfive_ret,thirty_ret,thirtyfive_ret,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,adjweightedavebasicsharesos,adjbasiceps,adjweightedavedilutedsharesos,adjdilutedeps,adjweightedavebasicdilutedsharesos,adjbasicdilutedeps,FFR_0,FFR_60,FFR_90,FFR_120,FFR_30,T10_0,T10_60,T10_90,T10_120,T10_30,Tax_Law
0,TomÂ Greco,AAP,Consumer Discretionary,Q3,2016,2016-11-15 22:57:00,0.151,0.128,0.13,6672,3638,2290,366,230,154,13,6,2.166666667,0.368421053,0.80270778,0.665738131,0.561660723,0.706720231,0.521499602,0.954784007,0.790462846,0.594356362,0.186080971,0.83154799,2017-02-21 12:41:00,97.0,-0.0014092273757736547,0.04337969487163767,0.04331842411616931,0.02800073524906558,-0.042487,487195641.7,0.051185,3779232000.0,2.5793,177805000.0,309390641.7,35119641.7,923511000.0,786103000.0,261242000.0,1047345000.0,276153000.0,1305653000.0,1425147000.0,1424775000.0,1043005000.0,1042633000.0,923511000.0,3898726000.0,38.664,16.409,10895078829.5,11818589829.5,3.8152,8.9896,1.1446,24.1001,0.001627,0.041494,3.1272,1.2417,11.2843,15.0344,24.2584,19.3878,38.1996,-0.083043,-0.095,-0.110557,-0.101264,-0.105727,-0.114981,-0.401885,0.049371,-0.004846,-0.015992,-0.019192,-0.009534,-0.014443,-0.016155,0.050528,0.011288,-0.009162,0.447297,0.110034,0.082171,0.082588,0.047495,0.552703,0.365126,0.0,0.365126,0.62291,0.923224,0.37709,1.1471,14.0849,1.238,6.7071,1.6499,25.9142,294.8196,221.2298,99.504,0.4008,3.1499,2.9081,0.3651,0.3652,0.13202,0.033259,0.09876,0.039585,0.171605,0.083838,0.094733,0.05448,0.0,0.171605,0.039243,0.077168,2.207428,9.5e-05,0.267429,0.267525,0.0,0.0,0.732475,0.9959,0.8818,0.9955,2.1408,1.8956,2.1401,3.2187,nm,nm,nm,nm,nm,nm,nm,1.3713,0.2102,0.137172,0.149727,0.149687,487195641.7,0.051185,0.076247,73638000.0,6.14,73860000.0,6.09,73900000.0,6.14,0.0,0.009999999999999953,0.009999999999999953,0.009999999999999953,,0.42999999999999994,0.53,0.6699999999999999,0.6399999999999999,,0.0
1,ThomasÂ R.Â Greco,AAP,Consumer Discretionary,Q4,2016,2017-02-21 12:41:00,0.158,0.176,0.16,6383,3580,1280,310,233,70,5,10,0.5,-0.333333333,0.801801809,0.660454805,0.572874203,0.697931265,0.533246386,0.952018368,0.756394467,0.687952923,0.132744354,0.878733944,2017-05-24 08:00:00,91.0,-0.006594500435485892,-0.025693666791091172,-0.1101157148189624,-0.09306955331591395,-0.017391,489956983.6,0.05121,3823963000.0,2.5856,247202000.0,242754983.60000002,30334983.6,907771000.0,798745000.0,258387000.0,1057132000.0,257347000.0,1361540000.0,1496718000.0,1496718000.0,1042949000.0,1042949000.0,907771000.0,3959141000.0,39.4848,17.3908,12442537466.5,13350308466.5,4.2667,9.6873,1.3005,27.0712,0.001781,0.03694,3.4912,1.3954,12.6288,16.7141,27.2479,25.5116,54.995,-0.028168,-0.023892,-0.056379,-0.0291,-0.03125,-0.255237,-0.491723,0.069113,0.005184,0.009345,0.016082,0.005668,0.016692,0.018062,-0.141546,-0.215377,0.011836,0.444822,0.11049,0.082319,0.083484,0.048039,0.555178,0.362503,0.0,0.362503,0.62209,0.924995,0.37791,1.1638,15.4437,1.2497,6.6421,1.6889,23.6342,292.0623,216.1133,99.5832,0.3764,3.0581,2.8287,0.3576,0.3576,0.132408,0.029977,0.102431,0.038556,0.170964,0.065603,0.097155,0.055906,0.0,0.170964,0.038593,0.07861,2.033453,0.0,0.263428,0.263428,0.0,0.0,0.736572,0.9866,0.8587,0.9866,2.1287,1.8528,2.1287,3.4811,nm,nm,nm,nm,nm,nm,nm,1.4072,0.2112,0.142306,0.156435,0.156435,489956983.6,0.05121,0.077222,73562000.0,6.22,73856000.0,6.2,73900000.0,6.22,0.0,0.0,0.25000000000000006,0.25000000000000006,,-0.04999999999999982,-0.11999999999999966,0.07000000000000028,0.6600000000000001,,0.0
2,TomÂ Greco,AAP,Consumer Discretionary,Q1,2017,2017-05-24 08:00:00,0.127,0.095,0.152,4824,2003,3019,227,88,142,6,7,0.857142857,-0.076923077,0.803711049,0.677509492,0.587895222,0.695039758,0.533590064,0.957695466,0.855521242,0.795788612,0.117762639,0.87995819,2017-08-15 13:20:00,83.0,-0.007744360902255647,0.03082706766917289,-0.23360902255639093,-0.17135338345864667,-0.020646,438057593.7,0.046215,3970960000.0,2.4534,215043000.0,223014593.7,29288593.7,947285000.0,709216000.0,256497000.0,965713000.0,233768000.0,1520975000.0,1647062000.0,1647062000.0,1073372000.0,1073372000.0,947285000.0,4097047000.0,40.8092,18.9762,10842314110.0,11789599110.0,3.5858,7.7114,1.1439,26.5243,0.00164,0.037701,2.969,1.2438,12.2082,16.6234,26.9134,25.0876,52.8647,-0.119957,-0.14737,-0.165641,-0.155609,-0.155963,-0.317822,-0.44459,0.057254,-0.009296,-0.086478,-0.112087,-0.105926,-0.110641,-0.109677,-0.101977,-0.081318,0.038441,0.44064,0.101882,0.073467,0.074822,0.043125,0.55936,0.367172,0.0,0.367172,0.629051,0.91625,0.370949,1.1239,14.2108,1.1986,6.6001,1.6654,25.6847,304.5128,219.1663,111.0312,0.3669,2.9839,2.734,0.355,0.355,0.113385,0.028243,0.085143,0.03124,0.144625,0.057724,0.084092,0.048468,0.0,0.144625,0.043521,0.067253,2.010275,0.0,0.261987,0.261987,0.0,0.0,0.738013,1.1115,0.9809,1.1115,2.4503,2.1625,2.4503,3.2665,nm,nm,nm,nm,nm,nm,nm,1.4501,0.2211,0.160462,0.173764,0.173764,438057593.7,0.046215,0.068555,73782000.0,5.52,74093000.0,5.52,73900000.0,5.52,0.0,,0.25,0.25,0.0,-0.14000000000000012,,-0.1200000000000001,-0.2100000000000004,-0.020000000000000018,0.0
3,TomÂ Greco,AAP,Consumer Discretionary,Q2,2017,2017-08-15 13:20:00,0.145,0.087,0.119,2523,1670,1583,135,77,89,6,5,1.2,0.090909091,0.796964138,0.691372248,0.581642166,0.697081909,0.54784557,0.934888494,0.912710201,0.753814748,0.128213483,0.923305375,2017-11-14 14:45:00,91.0,0.05718576709796676,0.10674676524953783,0.14752772643253229,0.014440850277264324,-0.008194,403093902.3,0.042492,3914737000.0,2.4548,100561000.0,302532902.3,31875902.3,786460000.0,636168000.0,254322000.0,890490000.0,241773000.0,1470658000.0,1727888000.0,1727888000.0,1043690000.0,1043690000.0,786460000.0,4171967000.0,42.221,20.4538,7538153092.0,8324613092.0,2.4097,4.9741,0.7946,20.3065,0.002359,0.049245,2.1265,0.8775,9.3484,13.0856,20.6518,14.2983,27.5164,-0.163361,-0.206263,-0.180512,-0.190719,-0.19063,0.00335,-0.011127,0.026365,0.000799,-0.077894,-0.102998,-0.079815,-0.091864,-0.092391,0.238912,0.356561,-0.014159,0.438478,0.093871,0.066033,0.067062,0.039132,0.561522,0.372446,0.0,0.372446,0.643503,0.90679,0.356497,1.1243,14.18,1.2225,6.6263,1.7304,25.7405,298.5716,210.9381,113.374,0.3151,2.8713,2.6036,0.3336,0.3336,0.104308,0.034428,0.06988,0.022017,0.126325,0.078286,0.075398,0.043996,0.0,0.126325,0.047977,0.073614,2.408094,0.0,0.250167,0.250167,0.0,0.0,0.749833,1.172,0.8832,1.172,2.5892,1.9511,2.5892,2.9102,nm,nm,nm,nm,nm,nm,nm,1.4802,0.2606,0.155029,0.182145,0.182145,403093902.3,0.042492,0.060811,73848000.0,5.01,74093000.0,5.01,73800000.0,5.01,0.0,0.0,0.2499999999999999,0.2499999999999999,,-0.06000000000000005,0.10999999999999988,0.04999999999999982,0.010000000000000231,,0.0
4,ThomasÂ R.Â Greco,AAP,Consumer Discretionary,Q3,2017,2017-11-14 14:45:00,0.138,0.153,0.154,5464,4076,2295,287,262,142,12,4,3.0,0.5,0.79661695,0.672089228,0.559624795,0.701362998,0.524433658,0.933496441,0.827465896,0.576575802,0.152165802,0.844314348,2018-02-21 17:14:00,99.0,-0.02501863089534769,-0.05323112956456936,0.061535185776642035,0.25657404450122423,-0.010364,383416988.6,0.040704,3911493000.0,2.4496,132261000.0,251155988.60000002,30046988.6,680706000.0,602063000.0,251878000.0,853941000.0,209457000.0,1467241000.0,1830543000.0,1830543000.0,1044008000.0,1044008000.0,680706000.0,4274795000.0,43.5968,21.9666,6971310053.9,7652016053.9,2.1578,4.2825,0.7401,19.7281,0.002551,0.050689,1.9563,0.8123,8.9608,12.7097,19.9574,15.3879,30.4672,-0.184661,-0.234117,-0.213012,-0.218339,-0.215107,-0.184242,-0.188224,0.034997,-0.007023,-0.041044,-0.05361,-0.048815,-0.04808,-0.045908,-0.145885,-0.169823,-0.000829,0.43728,0.090655,0.062551,0.063915,0.037514,0.56272,0.37473,0.0,0.37473,0.650734,0.901954,0.349266,1.1159,13.7885,1.2361,6.5857,1.7326,26.4712,295.2812,210.6664,111.0861,0.2636,2.7738,2.5019,0.3231,0.3231,0.099709,0.03746,0.062249,0.016407,0.116116,0.065314,0.071322,0.041861,0.0,0.116116,0.050463,0.07727,2.37412,0.0,0.244224,0.244224,0.0,0.0,0.755776,1.2226,0.7971,1.2226,2.7229,1.7754,2.7229,2.858,nm,nm,nm,nm,nm,nm,nm,1.5175,0.2948,0.155763,0.194332,0.194332,383416988.6,0.040704,0.057649,73866000.0,4.77,74106000.0,4.78,73800000.0,4.77,0.0,0.0,0.0,0.0,,0.10000000000000009,0.17999999999999972,0.1499999999999999,0.06999999999999984,,0.0
5,ThomasÂ Greco,AAP,Consumer Discretionary,Q4,2017,2018-02-21 17:14:00,0.168,0.125,0.111,5700,3735,2498,329,210,156,7,4,1.75,0.272727273,0.799276538,0.678871353,0.568786873,0.704040469,0.537660016,0.943590775,0.86205756,0.654854588,0.168568204,0.893796897,2018-05-22 08:00:00,89.0,-0.040052128583840135,-0.007384882710686311,0.011207645525629941,-0.016681146828844376,-0.020266,521160916.1,0.055598,3912586000.0,2.4232,88623000.0,432537916.1,45655916.1,497390000.0,579060000.0,249260000.0,828320000.0,178659000.0,1399858000.0,1946795000.0,1946795000.0,1044327000.0,1044327000.0,497390000.0,4459523000.0,46.0828,24.6017,7375372515.9,7872762515.9,2.1596,4.0452,0.7868,15.5106,0.002412,0.064472,2.0122,0.8399,9.5045,13.5958,15.1062,13.1037,18.2013,-0.216446,-0.275038,0.063687,0.034557,0.035484,0.148102,0.781788,0.023176,-0.004873,-0.030003,-0.038207,0.359254,0.345629,0.343096,0.208192,0.722188,0.000279,0.435795,0.088366,0.060831,0.061774,0.050727,0.564205,0.374965,0.0,0.374965,0.913977,0.898454,0.086023,1.1161,15.0268,1.2452,6.6001,1.7686,24.2899,293.1175,206.3799,111.0275,0.2219,2.653,2.3836,0.3058,0.3058,0.134727,0.064983,0.069744,0.015479,0.150206,0.111817,0.068947,0.056617,0.0,0.150206,0.037547,0.051213,3.362859,0.0,0.234179,0.234179,0.0,0.0,0.765821,1.2608,0.6005,1.2608,2.0038,0.9544,2.0038,2.9611,nm,nm,nm,nm,nm,nm,nm,1.5594,0.3314,0.149338,0.207685,0.207685,521160916.1,0.055598,0.055501,73846000.0,6.44,74110000.0,6.42,73800000.0,6.44,0.26,,,0.26,0.0,0.6200000000000001,,,0.52,0.2799999999999998,1.0
7,RichardÂ Gonzalez,ABBV,Health Care,Q4,2016,2017-01-27 14:30:00,0.118,0.116,0.13,3232,2024,2399,117,103,87,7,0,inf,1.0,0.8345172,0.64567106,0.545358644,0.683101006,0.507649585,0.996421472,0.647203578,0.449644857,0.068565895,0.762574871,2017-04-27 15:33:00,90.0,0.00867968619596066,0.012685695209480975,0.09914872308462691,0.08546152562176607,0.121571,7052387113.1,0.275076,41624000000.0,0.7084,10865000000.0,-3812612886.8999996,1099387113.1,36988000000.0,8849000000.0,1189000000.0,10038000000.0,479000000.0,385000000.0,6808000000.0,6406000000.0,45194000000.0,44792000000.0,36988000000.0,49830000000.0,2.8424,-24.3268,93647903502.2,130635903502.2,20.2002,nm,3.6527,15.7312,0.048591,0.063568,3.1385,5.0954,13.0141,14.7628,18.5236,18.5536,nm,0.229093,0.207066,0.208737,0.157271,0.159744,-0.065561,0.706507,0.35323,0.015688,0.023659,0.019,-0.008583,-0.020727,-0.021563,-0.056546,-0.084497,-0.011236,0.772525,0.391528,0.364303,0.345152,0.232194,0.227475,0.229386,0.178836,0.408222,0.755074,0.890948,0.244926,0.4304,5.4043,3.6876,9.9199,0.6537,67.5388,98.9793,558.3273,-391.8092,7.4353,13.8852,12.371,9.6618,9.7485,0.194863,0.034462,0.160401,1.192621,1.387484,-0.105346,0.148537,0.099925,0.0,1.387484,0.624391,1.64942,14.699374,0.008067,0.898896,0.906964,0.0,0.0,0.093036,4.5023,3.6848,4.4622,6.4083,5.2447,6.3513,1.9529,nm,nm,nm,nm,nm,nm,nm,1.6549,1.1431,0.015017,0.265543,0.249863,7052387113.1,0.275076,0.307512,1622000000.0,3.65,1631000000.0,3.63,1631000000.0,3.65,0.25000000000000006,0.25000000000000006,,0.26,0.0,0.6300000000000001,0.17000000000000037,,0.9300000000000002,-0.019999999999999574,0.0
8,RichardÂ A.Â Gonzalez,ABBV,Health Care,Q1,2017,2017-04-27 15:33:00,0.149,0.16,0.159,4623,1790,3072,192,96,174,11,6,1.833333333,0.294117647,0.826217452,0.632823521,0.54183609,0.704194954,0.497148433,0.992439855,0.540750568,0.418591541,0.169548055,0.701363359,2017-07-28 18:37:00,92.0,-0.001816530426884719,0.017711171662125366,0.05464729034211322,0.09763851044505,0.102662,7291846473.0,0.278124,42077000000.0,0.7167,10995000000.0,-3703153527.0,981846473.0,37079000000.0,9206000000.0,1295000000.0,10501000000.0,453000000.0,880000000.0,7128000000.0,6703000000.0,45450000000.0,45025000000.0,37079000000.0,50448000000.0,3.1179,-24.4049,96776096903.0,133855096903.0,19.363,nm,3.6912,15.3369,0.048367,0.065202,3.1812,5.1055,12.7469,14.54,18.3568,19.0813,nm,0.202726,0.182531,0.150898,0.152301,0.159159,-0.131592,0.70432,0.353742,0.022623,0.046125,0.040344,0.033954,0.05997,0.063361,-0.003693,0.02871,0.010883,0.768136,0.400526,0.361164,0.351133,0.240674,0.231864,0.224998,0.181974,0.406972,0.770076,0.890072,0.229924,0.4392,5.5606,3.7805,10.0664,0.7299,65.641,96.5488,500.0962,-337.9065,6.5883,12.3829,11.0217,9.0086,9.0936,0.199342,0.030916,0.168427,1.10965,1.308993,-0.101236,0.154225,0.105709,0.0,1.308993,0.605388,1.649445,15.485651,0.008425,0.892503,0.900928,0.0,0.0,0.099072,4.3282,3.531,4.2877,6.233,5.085,6.1747,2.0495,nm,nm,nm,nm,nm,nm,nm,1.7579,1.2353,0.033565,0.271874,0.255664,7291846473.0,0.278124,0.312533,1597000000.0,3.89,1603000000.0,3.86,1599100000.0,3.89,0.25,,0.25,0.25,0.0,-0.010000000000000231,,-0.1900000000000004,-0.20999999999999996,-0.1200000000000001,0.0
9,RichardÂ A.Â Gonzalez,ABBV,Health Care,Q2,2017,2017-07-28 18:37:00,0.152,0.153,0.153,4579,1865,3426,209,96,229,9,4,2.25,0.384615385,0.827673637,0.646703168,0.549077558,0.708240461,0.508070013,0.993339965,0.655388759,0.482763479,0.19649968,0.764873608,2017-10-27 14:11:00,90.0,-0.008650028360748716,0.0066647759500850666,0.23369256948383443,0.2817640385706183,0.079018,7627092651.8,0.285552,42507000000.0,0.6331,633000000.0,6994092651.8,1012092651.8,36498000000.0,9491000000.0,1385000000.0,10876000000.0,448000000.0,918000000.0,8123000000.0,4703000000.0,45755000000.0,42335000000.0,36498000000.0,51764000000.0,3.7556,-23.7556,108562717588.6,145060717588.6,18.0667,nm,4.0645,16.4116,0.044067,0.060933,3.4126,5.431,13.3377,15.284,19.0191,20.4311,20.7405,0.168332,0.148475,0.145626,0.156469,0.16954,-0.130328,3.267554,0.015117,0.018766,0.035711,0.030958,0.045975,0.048336,0.054404,0.012117,2.888686,0.010219,0.767765,0.407188,0.364807,0.355335,0.24766,0.232235,0.222463,0.180494,0.402958,0.782748,0.890423,0.217252,0.398,5.3921,3.7166,10.127,0.7051,67.691,98.2081,517.6374,-351.7383,6.2436,11.5207,10.2583,7.0453,7.6144,0.180777,0.027831,0.152947,0.954942,1.13572,0.165774,0.14144,0.098581,0.0,1.13572,0.592139,1.005291,15.848214,0.066069,0.817846,0.883915,0.0,0.0,0.116085,4.207,3.3558,3.8925,5.999,4.7853,5.5506,2.1429,nm,nm,nm,nm,nm,nm,nm,1.3836,0.9841,0.034369,0.304118,0.176076,7627092651.8,0.285552,0.316398,1595000000.0,4.1,1600000000.0,4.07,1595800000.0,4.1,0.32999999999999996,,,0.2499999999999999,0.0,0.009999999999999787,,,-0.1200000000000001,0.07999999999999963,0.0
10,RichardÂ A.Â Gonzalez,ABBV,Health Care,Q3,2017,2017-10-27 14:11:00,0.131,0.156,0.16,3958,1734,1612,171,86,116,16,3,5.333333333,0.684210526,0.828734032,0.654426939,0.53969234,0.698485753,0.515012857,0.993934464,0.714137023,0.399925971,0.135761079,0.801008668,2018-01-26 16:17:00,91.0,-0.00806979280261733,0.0066521264994547375,0.052017448200654265,0.08996728462377317,0.080461,7851839662.4,0.287898,41956000000.0,0.6489,-141000000.0,7992839662.4,1203839662.4,35269000000.0,9574000000.0,1460000000.0,11034000000.0,461000000.0,164000000.0,9718000000.0,5897000000.0,46794000000.0,42973000000.0,35269000000.0,53481000000.0,4.1716,-23.224,134478351506.7,169747351506.7,20.1104,nm,4.9308,20.2284,0.036476,0.049435,4.0458,6.224,15.384,17.73,21.6188,19.0364,21.2374,0.125229,0.102487,0.103803,0.093601,0.107817,0.194828,3.273562,-0.003349,0.021078,0.014527,0.008745,0.029467,0.004989,0.009828,0.255915,0.142799,-0.012963,0.768452,0.404576,0.369486,0.351043,0.243758,0.231548,0.220658,0.178308,0.398966,0.779184,0.891164,0.220816,0.4027,5.5153,3.6984,10.2242,0.6906,66.1799,98.6916,528.542,-363.6704,5.3889,10.2969,9.1762,6.4263,6.9978,0.186831,0.03396,0.15287,0.823811,1.010642,0.190186,0.141349,0.09815,0.0,1.010642,0.603189,1.01414,19.342733,0.071446,0.803519,0.874965,0.0,0.0,0.125035,4.2409,3.1964,3.8946,5.9596,4.4918,5.473,2.3893,nm,nm,nm,nm,nm,nm,nm,1.4525,1.1083,0.006013,0.356323,0.216221,7851839662.4,0.287898,0.312837,1597000000.0,4.15,1603000000.0,4.11,1599000000.0,4.15,0.0,0.0,,0.0,0.0,0.1200000000000001,0.2599999999999998,,0.1499999999999999,0.10999999999999988,0.0
